at	profit	profit_sigma	side	entry	exit	roc_total	pl	pf_trade_ratio	roc_indiv	dd	reversal	hold_ns	hold_mins	alpha
2019-10-06T12:00:01.490573500	3766	-22296	Side.BUY	866516	870282	-0.02417331671603520281362888094	0.9130621268896782721604622961	0.4733333333333333333333333333	0.004346140175138139399618702944	0.0	False	5401.4542339	90	None
2019-10-06T12:30:00.087123500	646	-21650	Side.SELL	870282	869636	-0.02343102858414232211518860526	0.9155810480427670699799968026	0.4768211920529801324503311258	0.0007422881318928806984402756808	0.0	False	1798.59655	30	None
2019-10-06T13:00:00.169932100	256	-21394	Side.BUY	869636	869892	-0.02313665254635179826383010584	0.9165792582830004016236513439	0.4802631578947368421052631579	0.0002943760377905238513584994181	0.0	False	1800.0828086	30	None
2019-10-06T13:30:00.578911200	3208	-18186	Side.SELL	869892	866684	-0.01944883842689788904291532561	0.9290880803559243387831973142	0.4836601307189542483660130719	0.003687814119453909220914780226	0.0	False	1800.4089791	30	None
2019-10-06T15:00:00.010163900	-1264	-19450	Side.BUY	866684	865420	-0.02090727079671203122161021325	0.9245313767106544623491112551	0.4805194805194805194805194805	-0.001458432369814142178694887641	-0.001458432369814142178694887641	False	5399.4312527	90	None
2019-10-06T15:15:45.154777200	-8000	-27450	Side.SELL	865420	873420	-0.03015133726154991340598311889	0.8966969362832724303127693124	0.4774193548387096774193548387	-0.009244066464837882184372905641	-0.01070249883465202436306779328	False	945.1446133	15	None
2019-10-06T16:00:00.080461900	3195	-24255	Side.SELL	880341	877146	-0.02652206178761424529555772691	0.9087207355027603933419387859	0.4807692307692307692307692308	0.003629275473935668110425391979	0.0	False	2654.9256847	45	None
2019-10-06T16:30:00.428286500	-4121	-28376	Side.BUY	877146	873025	-0.03122025342275822360703608969	0.8948429462948963104608588666	0.4777070063694267515923566879	-0.004698191635143978311478362781	-0.004698191635143978311478362781	False	1800.3478246	30	None
2019-10-06T17:00:00.064864900	-709	-29085	Side.SELL	873025	873734	-0.03203237220515277130040111360	0.8924979578862551884473652113	0.4746835443037974683544303797	-0.0008121187823945476933650239111	-0.005510310417538526004843386692	False	1799.6365784	30	None
2019-10-06T17:30:00.503118600	3084	-26001	Side.BUY	873734	876818	-0.02850269383622126583077305746	0.9038968335224521627925027629	0.4779874213836477987421383648	0.003529678368931505469628056136	0.0	False	1800.4382537	30	None
2019-10-06T18:00:00.163515400	3677	-22324	Side.SELL	876818	873141	-0.02430912116777695925859958474	0.9174875163091889574316307711	0.48125	0.004193572668444306572173472716	0.0	False	1799.6603968	30	None
2019-10-06T18:30:00.183617900	-4196	-26520	Side.BUY	873141	868945	-0.02911475966144522131478524089	0.9034755358527237587761920881	0.4782608695652173913043478261	-0.004805638493668262056185656154	-0.004805638493668262056185656154	False	1800.0201025	30	None
2019-10-06T19:30:00.211849300	9209	-17311	Side.SELL	868945	859736	-0.01851685070288052504517093849	0.9369934012498680613942179953	0.4814814814814814814814814815	0.01059790895856469626961430240	0.0	False	3600.0282314	60	None
