at	profit	profit_sigma	side	entry	exit	roc_total	pl	pf_trade_ratio	roc_indiv	dd	reversal	hold_ns	hold_mins	alpha
2019-02-20T14:00:00.008201500	-2145	111556	Side.SELL	432256	434401	0.2775710168024548245556028641	1.410607873088319193183282110	0.3392857142857142857142857143	-0.004962337133550488599348534202	-0.004962337133550488599348534202	False	34199.8546408	570	None
2019-02-21T11:30:00.008202900	-3065	108491	Side.BUY	434401	431336	0.2705153240209004542848161946	1.394871701546860782529572338	0.3362831858407079646017699115	-0.007055692781554370270786669460	-0.007055692781554370270786669460	False	77400.0000014	1290	None
2019-02-22T03:30:00.099614200	-3617	104874	Side.SELL	431336	434953	0.2621297498977111076965416244	1.376747243746564786774294367	0.3333333333333333333333333333	-0.008385574123189346588274570173	-0.01544126690474371685906123963	False	57600.0914113	960	None
2019-02-23T06:00:00.010689400	1435	106309	Side.BUY	434953	436388	0.2654289569384718335680725714	1.381902308822525658573034878	0.3391304347826086956521739130	0.003299207040760725871530947022	0.0	False	95399.9110752	1590	None
2019-02-23T17:07:55.756632600	-8000	98309	Side.SELL	436388	444388	0.2470966471591011817627983659	1.343297237461020299126645179	0.3362068965517241379310344828	-0.01833230977937065180527420552	-0.01833230977937065180527420552	False	40075.7459432	667	None
2019-02-24T14:04:28.454612400	-8000	90309	Side.BUY	455500	447500	0.2295335297057532124982539093	1.306790503011546810613961483	0.3333333333333333333333333333	-0.01756311745334796926454445664	-0.01756311745334796926454445664	False	75392.6979798	1257	None
2019-02-24T14:39:29.110289500	-8000	82309	Side.SELL	406250	414250	0.2098412220134455201905616016	1.272215552623136784106731224	0.3305084745762711864406779661	-0.01969230769230769230769230769	-0.03725542514565566157223676433	False	2100.6556771	35	None
2019-02-26T08:30:00.239240100	-163	82146	Side.BUY	418468	418305	0.2094517059692079679762943219	1.271530096188807721548276204	0.3277310924369747899159663866	-0.0003895160442375522142672796964	-0.0003895160442375522142672796964	False	150631.1289506	2511	None
2019-02-26T23:30:00.089095900	-1014	81132	Side.SELL	418305	419319	0.2070276374067953742946505452	1.267282502701420551880452257	0.325	-0.002424068562412593681643776670	-0.002813584606650145895911056366	False	53999.8498558	900	None
2019-02-27T20:30:00.617090100	129	81261	Side.BUY	419319	419448	0.2073352790829416972611748382	1.267707482276045647418496165	0.3305785123966942148760330579	0.0003076416761463229665242929607	0.0	False	75600.5279942	1260	None
2019-02-28T07:30:00.010433600	-1339	79922	Side.SELL	419448	420787	0.2041429882626254721271892190	1.262139902847977748841358816	0.3278688524590163934426229508	-0.003192290820316225133985619195	-0.003192290820316225133985619195	False	39599.3933435	660	None
2019-02-28T15:32:59.857570700	-8000	71922	Side.BUY	420787	412787	0.1851309940707896977330182964	1.229868672954427054202369576	0.3252032520325203252032520325	-0.01901199419183577439417092258	-0.01901199419183577439417092258	False	28979.8471371	482	None
2019-03-01T09:30:00.297454800	-2280	69642	Side.SELL	421733	424013	0.1797247299178777842711834388	1.220971370370252853285442771	0.3225806451612903225806451613	-0.005406264152911913461834857599	-0.02441825834474768785600578018	False	64620.4398841	1078	None
